id,museum,name,inventory,size,details,era,technique,category,image_url,author,number_of_volume,engraved_or_handcopied
6983,上海博物馆,邓畤广汉大观图卷,,,,明,,绘画,,,,
6984,上海博物馆,黄淳耀自书诗稿册,,,,明,,书法,,,,
6985,上海博物馆,透雕蟠龙纹磢,,,,汉,,铜器,,,,
6986,上海博物馆,蟠龙纹磢,,,,东汉,,铜器,,,,
6987,上海博物馆,永安五年神兽镜,,,,三国吴,,铜器,,,,
6988,上海博物馆,黄龙元年宋氏陶砖,,,,三国吴,,陶器,,,,
6989,上海博物馆,甘露二年乐氏砖,,,,三国吴,,陶器,,,,
6990,上海博物馆,加拿大 亚历山大·格拉汉姆·贝尔诞生100周年纪念邮票,,,,1947.3.3,,邮票,,,,
6991,上海博物馆,日本 伊势寄桑名封,,,,1875年（明治8年）12月26日,,邮票,,,,
6992,上海博物馆,日本 东京实寄封,,,,1874年（明治7年）2月24日,,邮票,,,,
6993,上海博物馆,日本 东京寄横滨樱花邮资封,,,,1885年（明治18年）11月9日,,邮票,,,,
6994,上海博物馆,日本 东京寄本埠封,,,,1876年（明治9年）1月10日,,邮票,,,,
6995,上海博物馆,日本 信浓寄横滨挂号封,,,,1889年（明治22年）8月23日,,邮票,,,,
6996,上海博物馆,日本 大阪寄东京封,,,,1875年（明治8年）3月28日,,邮票,,,,
6997,上海博物馆,日本 东京寄本埠封,,,,1875年（明治8年）7月14日,,邮票,,,,
6998,上海博物馆,日本 大阪寄本埠封,,,,1875年（明治8年）1月27日,,邮票,,,,
6999,上海博物馆,日本 东京寄横滨樱花邮资封,,,,1876年（明治9年）1月28日,,邮票,,,,
7000,上海博物馆,日本 实寄封,,,,1875年（明治8年）1月8日,,邮票,,,,
7001,上海博物馆,日本 东京寄相州大住郡封,,,,1875年（明治8年）11月20日,,邮票,,,,
7002,上海博物馆,日本 东京寄茨城常陆封,,,,1876年（明治9年）6月29日,,邮票,,,,
7003,上海博物馆,日本 东京寄相模封,,,,1875年（明治8年）4月20日,,邮票,,,,
7004,上海博物馆,日本 藤枝寄东京封,,,,1888年（明治21年）3月23日,,邮票,,,,
7005,上海博物馆,日本 越ヶ谷寄幸手菊花手雕邮资明信片,,,,1875年（明治8年）6月12日,,邮票,,,,
7006,上海博物馆,日本 名古屋寄西京菊花手雕邮资明信片,,,,1875年（明治8年）6月12日,,邮票,,,,
7007,上海博物馆,日本 东京寄武州菊花手雕邮资明信片,,,,1875年（明治8年）6月12日,,邮票,,,,
7008,上海博物馆,日本 东京寄越ヶ谷菊花手雕邮资明信片,,,,1875年（明治8年）6月12日,,邮票,,,,
7009,上海博物馆,日本 羽前寄东京樱花手雕邮资明信片,,,,1880年（明治13年）5月13日,,邮票,,,,
7010,上海博物馆,日本 东京寄上州樱花手雕邮资明信片,,,,1875年（明治8年）11月18日,,邮票,,,,
7011,上海博物馆,日本 东京寄本埠小判邮资明信片,,,,1881年（明治14年）7月18日,,邮票,,,,
7012,上海博物馆,日本 东京寄武藏丰岛樱花手雕邮资明信片,,,,1875年（明治8年）8月12日,,邮票,,,,
7013,上海博物馆,日本 东京寄本埠樱花手雕邮资明信片,,,,1874年（明治7年）7月14日,,邮票,,,,
7014,上海博物馆,日本寄北京邮资明信片,,,,1981,,邮票,,,,
7015,上海博物馆,匈牙利 匈牙利寄上海邮资明信片,,,,1996.11.19,,邮票,,,,
7016,上海博物馆,匈牙利 俄国诗人普希金诞生150周年附捐邮票,,,,1949.6.6,,邮票,,,,
7017,上海博物馆,苏联 尼基金（诗人）诞生125周年纪念邮票,,,,1949.10.24,,邮票,,,,
7018,上海博物馆,景德镇窑青花人物图碾钵,,,,清道光元年,,瓷器,,,,
7019,上海博物馆,醴陵窑釉下绿彩印章,,,,清末-民国,,瓷器,,,,
7020,上海博物馆,宜兴窑沈君茂制紫砂壶,,,,清丙戌仲春,,陶器,,,,
7021,上海博物馆,伊斯兰时期金币,,,,7-16世纪,,货币,,,,
7022,上海博物馆,埃利美王国铜币,,,,公元前2世纪-公元3世纪,,货币,,,,
7023,上海博物馆,罗马铜币,,,,公元前1世纪-公元4世纪,,货币,,,,
7024,上海博物馆,塞琉古王朝银币,,,,公元前4世纪-前3世纪,,货币,,,,
7025,上海博物馆,帕提亚王朝银币,,,,公元前3世纪-公元3世纪,,货币,,,,
7026,上海博物馆,玫塞内铜币,,,,公元前2世纪-公元3世纪,,货币,,,,
7027,上海博物馆,大月氏银币,,,,公元前1世纪-公元1世纪,,货币,,,,
7028,上海博物馆,埃利美王国银币,,,,公元前2世纪-公元3世纪,,货币,,,,
7029,上海博物馆,古代印度铜币,,,,公元前7世纪-公元4世纪,,货币,,,,
7030,上海博物馆,古代印度银币,,,,公元前7世纪-公元4世纪,,货币,,,,
7031,上海博物馆,贵霜萨珊王朝金币,,,,3-4世纪,,货币,,,,
7032,上海博物馆,巴克特里亚银币,,,,公元前3世纪-前1世纪,,货币,,,,
7033,上海博物馆,阿契美尼德王朝银币,,,,公元前6世纪-前4世纪,,货币,,,,
7034,上海博物馆,波西斯地区银币,,,,公元前6世纪-前4世纪,,货币,,,,
7035,上海博物馆,西徐亚铜币,,,,公元前2世纪-公元1世纪,,货币,,,,
7036,上海博物馆,西徐亚银币,,,,公元前2世纪-公元1世纪,,货币,,,,
7037,上海博物馆,斯基泰地区银币,,,,公元前3世纪-前1世纪,,货币,,,,
7038,上海博物馆,希腊巴克特利亚王国铜币,,,,公元前3世纪-前2世纪,,货币,,,,
7039,上海博物馆,景德镇窑青花云龙纹觚,,,,清康熙庚戌年,,瓷器,,,,
7040,上海博物馆,景德镇窑青花花鸟图瓶,,,,清康熙四十七年,,瓷器,,,,
7041,上海博物馆,罗马帝国银币,,,,公元前1世纪-公元4世纪,,货币,,,,
7042,上海博物馆,阿契美尼德帝国银币,,,,公元前6世纪-前4世纪,,货币,,,,
7043,上海博物馆,日本佚名 百幅唐诗配画册,,,,未确定,,绘画,,,,
7044,上海博物馆,花剌子模王朝金币,,,,11-13世纪,,货币,,,,
7045,上海博物馆,希腊巴克特利亚王国银币,,,,公元前3世纪-前2世纪,,货币,,,,
7046,上海博物馆,金静芬绣莲塘鸳鸯图,,,,1909年,,织绣,,,,
7047,上海博物馆,罽宾王国铜币,,,,公元前2世纪,,货币,,,,
7048,上海博物馆,塞琉古王朝铜币,,,,公元前4世纪-前1世纪,,货币,,,,
7049,上海博物馆,本都王国铜币,,,,公元前3世纪-公元1世纪,,货币,,,,
7050,上海博物馆,埃兰王朝铜币,,,,公元前7-前6世纪,,货币,,,,
7051,上海博物馆,别部司马,,,,六朝-晋,,玺印篆刻,,,,
7052,上海博物馆,景德镇窑程雪笠画浅绛彩山水图屏风,,,,清末,,瓷器,,,,
7053,上海博物馆,青白釉堆塑瓶,,,,南宋末-元,,瓷器,,,,
7054,上海博物馆,辟邪,,,,汉-晋,,铜器,,,,
7055,上海博物馆,汉碑拓本散页,,,,未确定,,雕版,,,,
7056,上海博物馆,古代希腊金币,,,,公元前2世纪-前3世纪,,货币,,,,
7057,上海博物馆,景德镇窑抹红彩八宝纹盘,,,,清康熙五十一年,,瓷器,,,,
7058,上海博物馆,汉郭太碑册,,,,未确定,,雕版,,,,
7059,上海博物馆,唐皓印章,,,,未确定,,玺印篆刻,,,,
7060,上海博物馆,清永 山水图轴,,,,未确定,,绘画,,,,
7061,上海博物馆,雷纹钟,,,,西周中期,,铜器,,,,
7062,上海博物馆,重环纹簋,,,,西周晚期,,铜器,,,,
7063,上海博物馆,鼎,,,,战国晚期,,铜器,,,,
7064,上海博物馆,鸟纹壶,,,,西周早期,,铜器,,,,
7065,上海博物馆,尊,,,,西周早期,,铜器,,,,
7066,上海博物馆,百乳雷纹簋,,,,西周早期,,铜器,,,,
7067,上海博物馆,兽面纹爵,,,,商前期,,铜器,,,,
7068,上海博物馆,兽面纹爵,,,,商中期,,铜器,,,,
7069,上海博物馆,兽面纹斝,,,,商前期,,铜器,,,,
7070,上海博物馆,蟠龙纹镈,,,,春秋早期,,铜器,,,,
7071,上海博物馆,龙纹簋,,,,西周早期,,铜器,,,,
7072,上海博物馆,光父爵,,,,西周晚期,,铜器,,,,
7073,上海博物馆,鄭氏伯高父甑,,,,春秋早期,,铜器,,,,
7074,上海博物馆,变形兽纹钟,,,,战国晚期,,铜器,,,,
7075,上海博物馆,兽足鐏,,,,战国晚期,,铜器,,,,
7076,上海博物馆,弦纹兽耳鼎,,,,战国晚期,,铜器,,,,
7077,上海博物馆,扁茎剑,,,,战国中期,,铜器,,,,
7078,上海博物馆,素勺（附木质漆柄）,,,,战国晚期,,铜器,,,,
7079,上海博物馆,练壶,,,,战国晚期,,铜器,,,,
7080,上海博物馆,镶嵌变形兽纹壶,,,,战国早期,,铜器,,,,
7081,上海博物馆,垂叶蟠虺纹钲,,,,战国早期,,铜器,,,,
7082,上海博物馆,觯,,,,西周早期,,铜器,,,,
7083,上海博物馆,蟠龙纹簋,,,,春秋早期,,铜器,,,,
7084,上海博物馆,圆茎剑,,,,战国晚期,,铜器,,,,
7085,上海博物馆,元统乙亥湖州路簠,,,,元元统,,铜器,,,,
7086,上海博物馆,录乙公簋盖,,,,西周早期,,铜器,,,,
7087,上海博物馆,母父癸爵,,,,西周早期,,铜器,,,,
7088,上海博物馆,立祖爵,,,,西周早期,,铜器,,,,
7089,上海博物馆,鼎,,,,西周早期,,铜器,,,,
7090,上海博物馆,变形蟠蛇纹卮,,,,战国中期,,铜器,,,,
7091,上海博物馆,见父已簋,,,,西周早期,,铜器,,,,
7092,上海博物馆,兽面纹鼎,,,,西周早期,,铜器,,,,
7093,上海博物馆,兽面纹斝,,,,商中期,,铜器,,,,
7094,上海博物馆,暦盤,,,,西周早期,,铜器,,,,
7095,上海博物馆,壶,,,,西周早期,,铜器,,,,
7096,上海博物馆,姬妊鬲,,,,西周中期,,铜器,,,,
7097,上海博物馆,蟠虺纹豆,,,,战国早期,,铜器,,,,
7098,上海博物馆,鼎,,,,西周晚期,,铜器,,,,
7099,上海博物馆,父癸簋,,,,西周早期,,铜器,,,,
7100,上海博物馆,素鼎,,,,西周中期,,铜器,,,,
7101,上海博物馆,蟠龙纹鼎,,,,战国早期,,铜器,,,,
7102,上海博物馆,龙纹簠,,,,春秋早期,,铜器,,,,
7103,上海博物馆,自匜,,,,春秋早期,,铜器,,,,
7104,上海博物馆,簋,,,,西周中期,,铜器,,,,
7105,上海博物馆,龙纹甗,,,,西周中期,,铜器,,,,
7106,上海博物馆,“太兴三年”吕氏砖,,,,晋太兴三年,,陶器,,,,
7107,上海博物馆,砖,,,,汉元和二年,,陶器,,,,
